timeStamp,elapsed,label,responseCode,threadName,success,bytes,grpThreads,allThreads,Latency,SampleCount,ErrorCount,Hostname,IdleTime
2016-10-17T16:50:09.311+0000,90,HTTP Request,200,Thread Group 1-776,true,13525,6,6,86,1,0,cb15f68f197f,0
2016-10-17T16:50:09.325+0000,78,HTTP Request,200,Thread Group 1-777,true,13532,5,5,74,1,0,cb15f68f197f,0
2016-10-17T16:50:09.306+0000,99,HTTP Request,200,Thread Group 1-779,true,13528,4,4,96,1,0,cb15f68f197f,0
2016-10-17T16:50:09.336+0000,78,HTTP Request,200,Thread Group 1-778,true,13544,5,5,76,1,0,cb15f68f197f,0
2016-10-17T16:50:09.357+0000,72,HTTP Request,200,Thread Group 1-780,true,13537,4,4,68,1,0,cb15f68f197f,0
2016-10-17T16:50:09.407+0000,80,HTTP Request,200,Thread Group 1-781,true,13510,5,5,69,1,0,cb15f68f197f,0
2016-10-17T16:50:09.429+0000,80,HTTP Request,200,Thread Group 1-780,true,13505,6,6,77,1,0,cb15f68f197f,0
2016-10-17T16:50:09.406+0000,113,HTTP Request,200,Thread Group 1-779,true,13552,5,5,75,1,0,cb15f68f197f,0
2016-10-17T16:50:09.457+0000,76,HTTP Request,200,Thread Group 1-782,true,13560,4,4,74,1,0,cb15f68f197f,0
2016-10-17T16:50:09.488+0000,82,HTTP Request,200,Thread Group 1-781,true,13516,5,5,79,1,0,cb15f68f197f,0
2016-10-17T16:50:09.507+0000,82,HTTP Request,200,Thread Group 1-783,true,13545,4,4,74,1,0,cb15f68f197f,0
2016-10-17T16:50:09.557+0000,77,HTTP Request,200,Thread Group 1-784,true,13472,5,5,73,1,0,cb15f68f197f,0
2016-10-17T16:50:09.534+0000,124,HTTP Request,200,Thread Group 1-782,true,13518,5,5,82,1,0,cb15f68f197f,0
2016-10-17T16:50:09.589+0000,69,HTTP Request,200,Thread Group 1-783,true,13511,5,5,67,1,0,cb15f68f197f,0
2016-10-17T16:50:09.609+0000,86,HTTP Request,200,Thread Group 1-785,true,13556,4,4,81,1,0,cb15f68f197f,0
2016-10-17T16:50:09.634+0000,85,HTTP Request,200,Thread Group 1-784,true,13536,5,5,83,1,0,cb15f68f197f,0
2016-10-17T16:50:09.659+0000,75,HTTP Request,200,Thread Group 1-786,true,13518,4,4,71,1,0,cb15f68f197f,0
2016-10-17T16:50:09.695+0000,115,HTTP Request,200,Thread Group 1-785,true,13536,6,6,70,1,0,cb15f68f197f,0
2016-10-17T16:50:09.734+0000,77,HTTP Request,200,Thread Group 1-786,true,13537,5,5,68,1,0,cb15f68f197f,0
2016-10-17T16:50:09.709+0000,156,HTTP Request,200,Thread Group 1-787,true,13524,5,5,71,1,0,cb15f68f197f,0
2016-10-17T16:50:09.758+0000,112,HTTP Request,200,Thread Group 1-788,true,13510,5,5,106,1,0,cb15f68f197f,0
2016-10-17T16:50:09.055+0000,843,HTTP Request,200,Thread Group 1-774,true,13457,5,5,704,1,0,cb15f68f197f,0
2016-10-17T16:50:09.865+0000,75,HTTP Request,200,Thread Group 1-787,true,13569,6,6,72,1,0,cb15f68f197f,0
